stamp_sec,x_m,y_m,yaw_rad
591.825,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
591.845,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
591.885,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
591.91,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
591.945,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
591.965,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
591.985,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.025,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.045,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.085,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.105,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.145,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.165,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.185,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.225,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.25,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.285,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.31,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.35,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.37,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.41,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.43,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.45,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.49,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.505,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.55,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.57,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.61,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.63,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.65,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.69,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.71,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.77,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.79,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.85,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.89,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.95,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
592.97,-0.010540605947959136,-0.02571324264974302,-1.645046904779691
593.055,-0.010491494397847134,-0.025713468108674826,-1.6435183259257098
593.095,-0.010373593749696042,-0.025713827565226603,-1.6409029692261297
593.155,-0.010065554389541376,-0.02571463397502956,-1.6346585561663218
593.175,-0.009927836802221535,-0.02571495996683202,-1.6319578830462693
593.215,-0.0095997381792845,-0.025715669993180965,-1.625627425958632
593.315,-0.008471188865796009,-0.025717496678083915,-1.6043787477213154
593.395,-0.00724927456883151,-0.025718495005657864,-1.5817985957026408
593.415,-0.006899181432132195,-0.02571860117267223,-1.5753780141057918
593.495,-0.005319068588494957,-0.025718109030637832,-1.5465930875410303
593.535,-0.004420496489538905,-0.0257171315680328,-1.5303394279136553
593.595,-0.0029358118666120703,-0.025714429443977605,-1.503634178761133
593.61,-0.0025388326216955193,-0.02571348018619163,-1.496522348959491
593.65,-0.001429435616890018,-0.025710326261208876,-1.4767068432533692
593.71,0.0003740794254678548,-0.02570364426145811,-1.444667730024668
593.77,0.0023464999835294265,-0.025694174744211085,-1.4098586259633779
593.81,0.003756219037091668,-0.025686051673685206,-1.3851203681961053
593.87,0.006014426192235689,-0.025670740739876463,-1.3457279618308462
593.93,0.008443236445378588,-0.025669278942306445,-1.3053225269497024
