stamp_sec,estimate_x_m,estimate_y_m,estimate_yaw_rad,truth_x_m,truth_y_m,truth_yaw_rad,xy_error_m,yaw_error_rad,sync_error_sec
593.2,0.0014425178437029499,3.347523372376995e-15,0.045041731810801656,-0.0095997381792845,-0.025715669993180965,-1.625627425958632,0.02798619483380266,1.6706691577694337,0.014999999999986358
593.3,-0.0008017465552892926,-0.00012494342736477866,0.09540718522057937,-0.008471188865796009,-0.025717496678083915,-1.6043787477213154,0.026717019430413363,1.6997859329418947,0.015000000000100044
593.4,-0.00011706279153777326,-0.00015142433611817238,0.1641571617485124,-0.00724927456883151,-0.025718495005657864,-1.5817985957026408,0.026543239204313483,1.7459557574511533,0.0049999999999954525
593.5,-0.0005499199152029572,-0.00016219494035146287,0.24940132495571876,-0.005319068588494957,-0.025718109030637832,-1.5465930875410303,0.025997106070831427,1.795994412496749,0.0049999999999954525
593.6,0.004320400806400757,0.0008726524843587987,0.33861041890770144,-0.0029358118666120703,-0.025714429443977605,-1.503634178761133,0.02755949106605679,1.8422445976688344,0.0049999999999954525
593.7,0.0037698463093136696,0.00026713144462102087,0.4296420073588323,-0.0002457686229302425,-0.02570615595645257,-1.4556557752358361,0.02628187249232498,1.8852977825946684,0.009999999999990905
593.8,0.00566276025544318,0.0013248123806287714,0.5241283901400516,0.003756219037091668,-0.025686051673685206,-1.3851203681961053,0.02707806633380427,1.9092487583361568,0.009999999999990905
593.9,0.00801388502181546,0.0015591495142257947,0.6137170176435759,0.006805504330029244,-0.02566927967820987,-1.3321281833973,0.02725522959330492,1.9458452010408758,0.009999999999990905
594.0,0.007748402286078158,0.0007775645827539124,0.7065939085408581,0.011038160241198192,-0.025669277860784878,-1.2661004993919065,0.02665066570719464,1.9726944079327646,0.009999999999990905
594.1,0.007161123813322137,0.0006612265822763052,0.7942518248050788,0.015729755381576283,-0.025669276118947884,-1.203181151559907,0.02768965184778703,1.9974329763649856,0.009999999999990905
594.2,0.010874507492909124,0.003710546702307323,0.8799013284032761,0.020876635969469426,-0.025669274454385067,-1.1430815538765116,0.031035728850163133,2.0229828822797877,0.009999999999990905
594.3,0.008681523761852727,0.0031299804971167875,0.9663465216487597,0.02647563014983323,-0.02566927286801952,-1.0855728860546219,0.03385302374288127,2.0519194077033815,0.009999999999990905
594.4,0.014261272098986184,0.0026705672725408215,1.0474989544674789,0.03252395217146731,-0.02566927136000109,-1.0304705012588338,0.03371456565267175,2.0779694557263126,0.009999999999990905
594.5,0.014072736612223222,-0.0003620546129539347,1.1357469614034543,0.039018593742137675,-0.025669269929851832,-0.9776231666819128,0.03553520697902202,2.113370128085367,0.0049999999999954525
594.6,0.0067023986218928125,-0.004661272096984808,1.220264132933183,0.04507299974770529,-0.025669268412493788,-0.9194746244465887,0.04374515904587204,2.1397387573797717,0.0049999999999954525
594.7,0.01545358397785424,-0.0003904847712965465,1.2993021443265953,0.047465038317649366,-0.025669267417707094,-0.8805998517563932,0.040789092427182726,2.1799019960829886,0.009999999999990905
594.8,0.018121025401344235,0.00026217938297298516,1.3898639912867736,0.048431463026974875,-0.02566201026148914,-0.8244567241958257,0.03988466168565659,2.2143207154825992,0.0049999999999954525
594.9,0.018372816366011277,0.0006757800081022842,1.478363571458797,0.04843146545197374,-0.025558409097662847,-0.7863906730719918,0.039896805171718674,2.264754244530789,0.009999999999990905
595.0,0.018618831727773566,0.003368678334925748,1.5741227855767035,0.04853992631809234,-0.02555469190533555,-0.729600750081508,0.0416153006421681,2.3037235356582118,0.009999999999990905
