stamp_sec,x_m,y_m,yaw_rad
0.015000000000000001,0.0,-3.0517648283447694e-42,2.7793214513162158e-40
0.02,0.0,9.333107387344116e-45,-1.3007802576532573e-45
0.060000000000000005,0.0003419590614468504,2.3438180418063423e-41,-2.223528490537527e-39
0.08,0.0005129354420079224,3.391465266775907e-41,-3.3352784521393775e-39
0.11,0.0007266526393818751,4.5326046942355636e-41,-4.724875509533871e-39
0.14500000000000002,0.001068591829177734,5.873227224023031e-41,-6.947867620985531e-39
0.17,0.001239557235424904,6.287814821735195e-41,-8.059139498588498e-39
0.20500000000000002,-0.0006838674219604712,-1.896097267907322e-18,-4.8614134746092404e-18
0.24500000000000002,0.003011028321574294,-1.9333619995319425e-18,-4.6219819586941984e-18
0.265,0.006873848381510506,-1.9084643218583483e-18,-4.541162275658116e-18
0.27,0.008049487915775977,-1.94117627926873e-18,-4.491569247616794e-18
0.29000000000000004,0.01359178390868454,-1.9534352894964005e-18,-4.3845962242530935e-18
0.33,0.028707115961665863,-2.0451952958385795e-18,-4.292678887079697e-18
0.35000000000000003,0.03828015103791493,-1.9843278017773903e-18,-4.2600913175709025e-18
0.39,0.06145695683011265,-1.938004038792418e-18,-4.201795141231789e-18
0.41000000000000003,0.07506072653720341,-2.0090865574553286e-18,-4.1376581374860255e-18
0.43000000000000005,0.0898664325764491,-2.024074726283958e-18,-4.0881507201421294e-18
0.47000000000000003,0.11986638828268692,-2.186817631746139e-18,-3.701184635770062e-18
0.49500000000000005,0.13486636613579162,-2.3175095355286244e-18,-3.564231411362159e-18
0.53,0.16486632184197259,-2.4855910508954573e-18,-2.8030194339977485e-18
0.55,0.17986629969504886,-2.0852121832780865e-18,-3.828130361544609e-18
0.5900000000000001,0.20986625540117654,-2.009651642643087e-18,-3.864001780124729e-18
0.61,0.2211162387909642,-2.091508143856364e-18,-3.822740260282031e-18
0.645,0.25111619449704037,-2.111265783260877e-18,-3.9503364068788185e-18
0.6900000000000001,0.28111615020307834,-2.1051603234064404e-18,-3.944905130386096e-18
0.7250000000000001,0.3111161059090799,-2.0906098395257404e-18,-4.07507222329724e-18
0.745,0.32611608376206735,-2.0878484773956445e-18,-4.122512986468402e-18
0.785,0.35611603946801385,-2.217381799112063e-18,-3.987261035095394e-18
0.81,0.3711160173209729,-2.2759671736793397e-18,-3.866303180550507e-18
0.8450000000000001,0.4011159730268643,-2.365780080487726e-18,-3.709319174239588e-18
0.89,0.4311159287327184,-2.5043273174609075e-18,-3.410675567835118e-18
0.925,0.46111588443853524,-2.5924414985755313e-18,-3.3150250773421097e-18
0.9450000000000001,0.4761158622914303,-2.585459852832508e-18,-3.21138100471743e-18
0.9850000000000001,0.506115817997193,-2.61610643879063e-18,-3.029139749329028e-18
1.01,0.5211157958500596,-2.718119482658585e-18,-3.029510083641337e-18
1.045,0.5511157515557672,-2.85946903439271e-18,-2.9979865421453674e-18
