capacity_id,volume_l,status,policy
dry_bin_geometric,45.000000,frozen_pre_urdf,must_exceed_usable_volume
dry_bin_usable,40.000000,frozen_competition_minimum,must_not_be_shared_with_wastewater
wastewater_design_cap,20.000000,frozen_upper_cap,never_overrides_lower_mass_cog_or_space_limit
wastewater_mass_limited_nominal,12.133000,mass_only_precheck,design_payload_minus_fixed_payload_and_worst_dry_trash
wastewater_preliminary_usable,9.706400,mass_only_precheck,80_percent_of_mass_limited_nominal
normal_episode_puddle_cap,8.493100,mass_only_precheck,87_5_percent_of_preliminary_usable
wastewater_cog_limit,,pending_during_urdf_layout,requires_full_inertia_and_arm_tank_pose_scan
wastewater_installation_limit,,pending_during_urdf_layout,requires_detailed_cabinet_and_service_clearance
