sim_s,motion_class,gt_map_x_m,gt_map_y_m,baseline_x_m,baseline_y_m,baseline_error_m,map_odom_filtered_x_m,map_odom_filtered_y_m,map_odom_filtered_yaw_rad,candidate_x_m,candidate_y_m,candidate_error_m
13.92,straight,0.0017023453006714817,1.7239959097539711e-06,-0.010560631356029785,0.029347938302457115,0.03180535946359678,-0.011251583120328186,0.020109211555853556,-0.03822195928200422,-0.00962272394286976,0.020063075541118452,0.023037252856871873
13.94,straight,0.0039123026057978905,1.7323769627582338e-06,-0.00925616727543838,0.033039070534072096,0.0355650715101238,-0.011279004704737276,0.020277150521805027,-0.03830976879256579,-0.00753657725920861,0.020150113110045414,0.02317399612342696
13.96,straight,0.007317336412384634,1.7452874816228278e-06,-0.005383700639291226,0.033330841523282397,0.035667141714515224,-0.011301291138692772,0.02044877804851767,-0.03839637155526269,-0.0042692821127958015,0.02019566681447814,0.023281842613645246
13.98,straight,0.011825258953777507,1.7623778095259945e-06,-0.000264292866707688,0.03356901769589676,0.03567797489782531,-0.011315221824657443,0.02062393166895732,-0.038481760592252286,0.00012951132660907983,0.020200483666265447,0.023340498157647327
14.0,straight,0.017245064885855754,1.7829222802482358e-06,0.005702301289716699,0.033772333622047644,0.03568873051821699,-0.011319446865638879,0.020802536391644744,-0.03856595681203812,0.005468686840982233,0.020171712853227906,0.023356137379179746
14.02,straight,0.023394744401514345,1.8062338149119017e-06,0.023461888583155937,0.027317037271796726,0.027315313562166064,-0.011315482525104621,0.02098465792003327,-0.038649081891542474,0.011566684020996375,0.020116410871470543,0.023334530895099997
14.04,straight,0.030137801878964865,1.8317950816074118e-06,0.031822097113397285,0.026492712390726952,0.02654437049864756,-0.011140518652446486,0.02107773222055096,-0.03894926687448515,0.018440663219783437,0.01994140938618111,0.02311730536467419
14.06,straight,0.037363185464514004,1.859184894842126e-06,0.03880329436747031,0.0023299523884950674,0.002737504633242396,-0.010962291332166245,0.021173666467243706,-0.03924533711416986,0.025809118442355995,0.019745856189897566,0.02287622963877736
14.08,straight,0.04498052974359723,1.888061866541476e-06,0.046617903668130824,-0.0006052138575091101,0.001746300692679282,-0.010791002618239549,0.020888893459470047,-0.038724843584032484,0.02598114534132493,0.019480222655547937,0.02720996373038217
14.1,straight,0.052916118879167584,1.918146968582676e-06,0.05442073936212795,-0.0009369297925531114,0.0017735045112116322,-0.010618373164412383,0.020603535041828196,-0.03821124417431457,0.03413213928439359,0.018908259394029767,0.026651221900078292
14.12,straight,0.061111940279957366,1.9492169196613726e-06,0.05813866221161201,-0.010140230186492447,0.010569020083371034,-0.010450076242894684,0.020317561364065997,-0.0377044294157115,0.050020109707181716,0.018050753919939842,0.021184618397859425
14.14,straight,0.06951789669327013,1.981082014294604e-06,0.06649047533359533,-0.011666571932632737,0.01205489151940587,-0.01034967668497724,0.019900530944547055,-0.03720606297212705,0.05850385383716119,0.017350849561420287,0.02054975371024994
14.16,straight,0.07809333614031289,2.013589117716288e-06,0.07525101651615847,-0.012234183577265353,0.012561978424613473,-0.010243843919268513,0.019481580300260547,-0.03671429856655185,0.06716459077548248,0.016650352416298086,0.019914935625150877
14.18,straight,0.08680611130259308,2.0466171848321113e-06,0.08994729293405924,-0.0014815401771119503,0.003473910162636943,-0.010137205296404753,0.019060682584286594,-0.03622907872898869,0.07596850475580243,0.015952939102247946,0.019284311933099468
14.2,straight,0.09563004879285586,2.0800671096723364e-06,0.09954767108454755,-0.0005423894711774589,0.003955276412399301,-0.00994400351453521,0.018804469454300747,-0.03575076888443594,0.08497238764291501,0.015423236003923662,0.018745607261822485
14.22,straight,0.10454384485746004,2.1138579251140288e-06,0.10747694173791848,-0.0132696853855316,0.013592045926525308,-0.009751575108534713,0.01854776715393968,-0.03527838681735268,0.09406638411138621,0.014898443812271886,0.01821202431895716
14.24,straight,0.11353021231444416,2.1479236010496253e-06,0.11644296461028952,-0.015235451929181024,0.01551349655011586,-0.00957626010832919,0.018108103401903084,-0.03481725461521725,0.10321846850021887,0.014194886360200495,0.017543257531597165
14.26,straight,0.12257504844720302,2.1822107163648624e-06,0.1255762241571888,-0.015857329079386244,0.0161409774797904,-0.009401862007886496,0.017666156734332226,-0.03436231747718548,0.11242925373516881,0.013492838851208182,0.016880016792953357
14.28,straight,0.13166690225861544,2.2166765932975944e-06,0.13543511929296503,-0.0018637614574202829,0.0042049178368404865,-0.009228557191614074,0.017221905361692436,-0.033913545789296715,0.12168768474298988,0.01279440670984749,0.016224207471277473
14.3,straight,0.1407964464827529,2.2512858949822175e-06,0.14471920325558887,-0.000537574042195271,0.003959726263730633,-0.009046345483859845,0.01699078934336697,-0.03347325623843949,0.1309939191950099,0.012314653027111709,0.015738004252892512
14.32,straight,0.1499560970910494,2.286009696572432e-06,0.1603453179819435,-0.01006912330987968,0.014469595585303622,-0.008865483410886634,0.016759319866267507,-0.03303849425949795,0.14032872267328603,0.011842070755615976,0.01525997513135295
14.34,straight,0.15913969766670277,2.320824192557298e-06,0.1703067098195411,-0.011579796449369163,0.016088741434934422,-0.00859193055252709,0.01639165061167109,-0.03261317768006414,0.14978152753301796,0.011238587353784376,0.014622894165486386
14.36,straight,0.16834223504130819,2.3557101689667075e-06,0.17956609452641578,-0.012088603661739075,0.016497464055865392,-0.008321096775128581,0.016022252852576104,-0.032193338006578344,0.15925093313893396,0.010638663704035774,0.013992241350852558
14.38,straight,0.177559631767906,2.3906529706700786e-06,0.18219270192425918,-0.0015506683437381515,0.004886443627112523,-0.008053094506244623,0.015651139776720255,-0.03177913738519654,0.16873297962926637,0.010044242851285187,0.013369688984764976
14.4,straight,0.18678857976772179,2.425639921411748e-06,0.1907384845084265,-0.0005900073638414819,0.00399408616889886,-0.007885704778207154,0.015441644199766865,-0.03137473133566986,0.17812543332844485,0.009616334757781663,0.01294130421382764
14.42,straight,0.19602639225082896,2.460660762378272e-06,0.20666764535164914,-0.003290789407088681,0.011139199413113853,-0.007719777657698814,0.015231894395711636,-0.03097559756233672,0.1875254174160759,0.009194580401404086,0.012520448812538627
14.44,straight,0.20527088802779758,2.495706750633601e-06,0.21669807357938958,-0.0038662186308332626,0.012064307699007855,-0.007457633585844261,0.014986607912415857,-0.030586485687948844,0.19702939579830478,0.008742132608518145,0.012012636985421921
14.46,straight,0.21452029735111466,2.5307712485704537e-06,0.22599034659472364,-0.004175938613566699,0.012207441830729866,-0.00719832024200213,0.014740742464812091,-0.030202805144536417,0.20653613650614167,0.008295507544520285,0.011511745660864128
14.48,straight,0.2237731852842444,2.565849092433307e-06,0.22841737074580504,-0.0008839133768694543,0.004728033842881548,-0.006941879563574338,0.014494225945867321,-0.029824206247090097,0.2160439922031095,0.007853532665666515,0.011017173214595973
14.5,straight,0.23302838933277314,2.6009358591543532e-06,0.23695446079382923,-0.0007174171545249028,0.003991548968483209,-0.0067893530702695945,0.014300514111394469,-0.029452555577441267,0.22544981807447587,0.007469598418107195,0.010639116209393907
14.52,straight,0.24228496868269644,2.636027961956685e-06,0.24447267409604564,0.010964373675243277,0.011177913366251414,-0.006638241160536119,0.01410659158387782,-0.02908574730715395,0.2348558443078916,0.007090759158022297,0.010268075695241817
14.54,straight,0.25154216288743214,2.671122383600071e-06,0.2535718353876636,0.012332206372946672,0.012495479580755321,-0.006514776332962613,0.014088231938474294,-0.028725950196266104,0.24423479451679922,0.006892931200038264,0.010043570900922047
14.56,straight,0.260799358243915,2.7062167897422806e-06,0.2628663064573181,0.012407918074362515,0.012576229806589675,-0.00639241694714466,0.014071335375356158,-0.028370859792787338,0.25361332239356327,0.006702435204038483,0.0098247381514787
14.58,straight,0.2700560611080931,2.7413088890139213e-06,0.2736092931768823,0.0007154694523179566,0.003624008766698522,-0.006271190611645465,0.01405589805672684,-0.028020460412310905,0.253737114825348,0.006778104185905906,0.017669565639663556
14.6,straight,0.27931187370897703,2.7763971883445613e-06,0.28264926001260976,-0.0007813546310847347,0.0034282661520331115,-0.006129751670816209,0.013867856683159156,-0.027671523177984225,0.26359684432632924,0.006412140485524075,0.016971802983605812
14.62,straight,0.2885664775217265,2.8114806431400754e-06,0.2927515700552351,-0.00588202039136834,0.00722123574437726,-0.0059957944042773525,0.013679617597825681,-0.027327213092216175,0.2817793875303024,0.005820621701876524,0.008939323594208709
14.64,straight,0.2978196189459368,2.846558842551122e-06,0.3025888204157832,-0.006752758961257023,0.00826943097215191,-0.005850584732013292,0.013417950212953925,-0.02698252086472905,0.2911760723753017,0.005408627922746292,0.00856499755928315
14.66,straight,0.30707109588045967,2.881630924044434e-06,0.3119534646461282,-0.007095635496514887,0.008615478522549966,-0.005700135195348132,0.013155385833360563,-0.026642386945136938,0.30057911781494934,0.005002914144803565,0.00819427265490474
14.68,straight,0.3163207488901634,2.916696281206322e-06,0.3200189600821632,-0.0011044978197849989,0.003860457606427872,-0.005550832836838769,0.012891846911410161,-0.026306647295601254,0.30997565666571614,0.004598964495650827,0.007834784662696933
14.7,straight,0.3255684531731333,2.9517544929342074e-06,0.329182241491734,-0.0005998415392909854,0.003663717479103076,-0.005421002659431414,0.01271778869319344,-0.025966340272415567,0.3193529825165062,0.0042920822077865805,0.007551735928166715
14.72,straight,0.3348141119505783,2.9868050960057384e-06,0.34775362348779915,-0.012346602222818564,0.017886959159685557,-0.005292192385664736,0.012543642390883528,-0.02563043445045548,0.32872689936639593,0.003990791824185116,0.007277138580190747
