stamp_sec,estimate_x_m,estimate_y_m,estimate_yaw_rad,truth_x_m,truth_y_m,truth_yaw_rad,xy_error_m,yaw_error_rad,sync_error_sec
233.3,-0.0004511627710943441,6.1298631650044366e-15,-0.12629225127842383,-3.726110346491396e-06,-0.0035500142879763773,-0.06282031933426374,0.0035781001956710404,0.06347193194416009,0.0049999999999954525
233.5,0.01874105773664132,-0.0027674769178656364,-0.2981512584223886,-1.877257601989868e-05,-0.007993214678931772,-0.14069010210695157,0.019474074265732767,0.15746115631543703,0.0049999999999954525
233.7,0.020022473264359384,-0.0021797879412369407,-0.4672471899668476,-5.326187352494571e-05,-0.013561878249000915,-0.23702535480459308,0.02307784914372607,0.23022183516225453,0.014999999999986358
233.9,0.015700071288264603,0.0009240903903270351,-0.6416977515584849,-7.48341321905599e-05,-0.02242829043136291,-0.3760196243972508,0.02818122302288419,0.26567812716123407,0.0049999999999954525
234.1,0.024015279170660323,-0.0030691665954720327,-0.8219442638322513,-7.483720760248502e-05,-0.03186240174491299,-0.4873130741191922,0.037541764709310727,0.33463118971305905,0.0049999999999954525
234.3,0.02576183643976764,-0.003920758021563927,-0.9858941834465293,-7.4840346607985e-05,-0.04448820436536056,-0.6028240746275492,0.04809627397439909,0.3830701088189801,0.009999999999990905
234.5,0.022668123947368026,-0.0028786299377758294,-1.1677192883342689,-7.484265019463976e-05,-0.051810564722325134,-0.691971723471909,0.05395902863670951,0.47574756486235975,0.009999999999990905
234.7,0.017464617940473534,-0.0010988966351645453,-1.345530968685691,-0.00019112401504806087,-0.05270155497079501,-0.7862114256075458,0.05453952302050118,0.5593195430781454,0.009999999999990905
234.9,0.006601764202576427,6.890297368763414e-05,-1.5386007866475466,-0.0004505423684566523,-0.05281189810571568,-0.8876433231517665,0.05334898453364655,0.6509574634957801,0.0049999999999954525
235.1,-0.013102934730019155,-0.007073726962384529,-1.728430673867597,-0.002326820378730332,-0.05281190070438142,-0.987643481951765,0.046990479650298816,0.740787191915832,0.010000000000019327
235.3,-0.012274404723855983,0.003653751979497801,-1.9096742660857304,-0.006033115653011123,-0.05281190353777691,-1.096231251124895,0.05680954094394165,0.8134430149608354,0.0049999999999954525
235.5,-0.021557892405442192,0.019587879024541583,-2.0987940166621035,-0.011593653277245153,-0.052811906579917973,-1.2145512748516736,0.07308224830268704,0.8842427418104299,0.0049999999999954525
235.7,-0.03951325036615043,0.009761695799183161,-2.2931901934747922,-0.019229863229652366,-0.058866692559085464,-1.3340479622246613,0.07156305948170742,0.959142231250131,0.005000000000023874
235.9,-0.06451688605666596,-0.015827460153912426,-2.462080658899712,-0.029170533732239434,-0.07933820785481871,-1.4399979544496824,0.07268410896592642,1.0220827044500296,0.0049999999999954525
236.1,-0.12111929007522869,-0.06356517245067389,-2.6346222537858193,-0.041311841769461566,-0.11701561519346862,-1.5281399020260666,0.09605299909153524,1.1064823517597526,0.0049999999999954525
236.3,-0.1865302075836025,-0.07911155145556023,-2.79356344651135,-0.055397405552062295,-0.17423597530262652,-1.595369928978737,0.1620014437617129,1.1981935175326128,0.009999999999990905
236.6,-0.29980359463923983,-0.09324125591425916,-2.9287682123725776,-0.07979948642464585,-0.2862837958841811,-1.6728736702081577,0.29268964769758715,1.2558945421644199,0.0049999999999954525
236.9,-0.4201446603761344,-0.11404338351087594,-2.95024236054539,-0.10079207887618047,-0.4052915220028329,-1.692805855594328,0.4322170166544983,1.2574365049510619,0.0049999999999954525
